epoch,acc,f1_macro,f1_micro,auc,ece,train_loss,train_acc,p_eff
1,11.940000000000001,0.09121529587613743,0.1194,0.8414533939393938,0.9802860907774666,3.9495508655548095,9.012,0.10240851596112141
2,24.27,0.21762693053739685,0.2427,0.9082019646464647,0.9808846040623938,3.3243264349365234,18.574,0.10233913724074888
3,32.67,0.3058837075924828,0.3267,0.9414576111111113,0.9816646235399981,2.801469705276489,28.072,0.10222284263357177
4,32.97,0.3121142824282347,0.3297,0.9454871363636363,0.9821273160386805,2.345435157737732,37.282,0.10229727898336127
5,43.76,0.42528564785470657,0.4376,0.9659807070707072,0.983190717230397,2.0464821463012695,44.22,0.10234229047508801
6,44.9,0.43553121759283286,0.449,0.9670312626262627,0.9834080793360489,1.853165425491333,48.61,0.10215233220621144
7,44.79,0.4436797085086798,0.4479,0.9662925757575758,0.9838383809930441,1.7258273165130615,51.654,0.10220800532633081
8,47.699999999999996,0.46661116603726094,0.477,0.9725278080808082,0.9834934932783176,1.637819629135132,54.114,0.1023093689509365
9,52.33,0.5155027959262634,0.5233,0.976580909090909,0.9842884321199173,1.5603987982940675,55.862,0.1024081413169651
10,47.010000000000005,0.47351352663210255,0.4701,0.9693587979797982,0.983884039242398,1.508502847251892,57.222,0.10225438267526114
11,51.160000000000004,0.501981383525147,0.5116,0.9744172424242423,0.9844505522709938,1.4500396698760987,58.656,0.10231397390518042
12,51.94,0.5106195464018459,0.5194,0.9731014747474747,0.9842621947656127,1.4082643388748168,60.022,0.102254944631968
13,52.739999999999995,0.5188330877533933,0.5274,0.9774403131313132,0.9848799408536931,1.377056008834839,60.588,0.10227962406090153
14,50.67,0.5007321881940019,0.5067,0.9732264999999998,0.9845364856936689,1.3393127068328858,61.484,0.10230794844343839
15,47.88,0.48215355065565496,0.4788,0.9700150606060606,0.984145269776776,1.3139889596557617,62.134,0.10231589392551681
16,55.54,0.5511930081444842,0.5554,0.9799047575757576,0.9850964417342887,1.2847763460922241,62.954,0.10221652839037464
17,55.47,0.5560145063511167,0.5547,0.979857919191919,0.9849120554498566,1.2646062878799438,63.538,0.10223116277886168
