epoch,acc,f1_macro,f1_micro,auc,ece,train_loss,train_acc
1,15.939999999999998,0.13252063368527106,0.1594,0.8708331262626261,0.9802095182172461,3.843585915374756,10.616
2,21.26,0.18773780625727154,0.2126,0.9073410606060603,0.9809101507443546,3.1063207262420653,22.48
3,34.22,0.3180946379910858,0.3422,0.9472452323232325,0.9818111512945812,2.563876085357666,33.108
4,38.51,0.3688767360399111,0.3851,0.9570006060606062,0.9823112063204094,2.190838878707886,40.674
5,40.83,0.41605226331597545,0.4083,0.9604829292929292,0.9825536910637392,1.938953899230957,46.76
6,46.31,0.4474981430277941,0.4631,0.9701570555555555,0.9832527731329748,1.775995813293457,50.63
7,44.1,0.43676712748008667,0.441,0.9662065757575755,0.9831222991778076,1.668096905822754,53.196
8,49.309999999999995,0.4926450124286098,0.4931,0.9704304494949494,0.9833718299619381,1.569181957321167,55.58
9,49.03,0.4823514364296457,0.4903,0.9738658434343433,0.9838282652925977,1.5161116135406494,57.104
10,49.730000000000004,0.49355712211504676,0.4973,0.9732812424242426,0.9836294726785622,1.4540824228286744,58.56
11,48.88,0.480999693240579,0.4888,0.973307,0.9838857454552934,1.4073203274536132,59.99
12,48.03,0.48871505635670276,0.4803,0.9711778282828283,0.9840241968654427,1.3742516347885132,60.922
13,43.65,0.42678311857317497,0.4365,0.965437606060606,0.9838101827735306,1.3230323303413392,62.016
14,55.06999999999999,0.554320522191426,0.5507,0.9800456767676766,0.9844220279654552,1.2975262477493286,62.99
15,54.26,0.5330245392674707,0.5426,0.9802361818181818,0.9845706091205914,1.271928288421631,63.612
16,55.69,0.5546812803601625,0.5569,0.9808615252525253,0.984313406208122,1.2420934116363525,63.96
17,57.35,0.5692471526433625,0.5735,0.982404606060606,0.9845323249571433,1.221013343811035,64.694
18,55.98,0.555118062587753,0.5598,0.9810209393939394,0.9847538512424474,1.2071391292572022,65.112
19,57.92,0.5699292427728079,0.5792,0.981422095959596,0.9847386956772245,1.1908641690444945,65.546
20,56.48,0.5636108593328781,0.5648,0.9802138585858584,0.9844623652916282,1.165543048171997,66.198
21,48.8,0.48902749964432046,0.488,0.9690296666666667,0.9843060373671021,1.1582111819076537,66.394
22,57.3,0.5698695432647437,0.573,0.9803286666666666,0.9848680057122481,1.1438861225128174,66.91
23,56.379999999999995,0.5576453813280573,0.5638,0.9800939797979799,0.9845941601933634,1.135118412437439,67.218
24,55.84,0.565759497317355,0.5584,0.9791158686868688,0.9847688573548988,1.1159915093612671,67.458
25,57.42,0.5735635634458065,0.5742,0.9806090909090911,0.9849723303562103,1.0940220401382446,68.372
26,57.49999999999999,0.5767962182637902,0.575,0.9802641818181818,0.9847910274206433,1.101931332473755,67.86
27,58.63,0.5928057165461394,0.5863,0.9818794949494951,0.9848350460627358,1.0829286922836303,68.782
28,57.84,0.583243253071082,0.5784,0.9809056111111113,0.9849742404262717,1.0709938231277465,68.972
29,55.06999999999999,0.5515268374833847,0.5507,0.9786777676767678,0.9850698018884795,1.0612507321929932,69.16
30,59.4,0.5933898462590723,0.594,0.9821315050505051,0.9851537459267864,1.061177818069458,69.216
31,59.07,0.5935969144779801,0.5907,0.983492606060606,0.9850066807496696,1.0558757945632935,69.258
32,55.26,0.5497376730314866,0.5526,0.979390994949495,0.9846980708264781,1.0403229165649415,69.866
33,58.730000000000004,0.5902495586136779,0.5873,0.9813899393939394,0.984928642226238,1.034666964225769,69.872
