epoch,acc,f1_macro,f1_micro,auc,ece,train_loss,train_acc
1,13.11,0.10098868766978734,0.1311,0.8517073585858586,0.9801270080404901,3.98160611579895,8.912
2,22.63,0.19639834900640968,0.2263,0.9033346666666668,0.9808457155592147,3.3392133513641356,18.548
3,32.87,0.30979021818078906,0.3287,0.9411183181818182,0.981524037466634,2.8133633152771,27.988
4,40.56,0.3873886093395301,0.4056,0.9589948232323231,0.9821252814982308,2.3499085485839846,37.466
5,41.23,0.40233709410642654,0.4123,0.9633576464646465,0.9825344227341677,2.047805543899536,44.066
6,43.78,0.4288183570603611,0.4378,0.9662342323232322,0.9832686282715275,1.8497731406402589,48.614
7,47.79,0.4708484065081475,0.4779,0.9722443232323232,0.9837164488671994,1.7211419800186156,51.902
8,47.699999999999996,0.48340587945708413,0.477,0.9722646565656566,0.9837354935903505,1.6279078043365478,54.34
9,47.07,0.4565764512424667,0.4707,0.9706822626262628,0.9837668004084559,1.5573472784805298,55.934
10,52.23,0.5168822158788962,0.5223,0.9773516363636364,0.9840433150157356,1.5016557479476929,57.542
11,46.129999999999995,0.4503114329229966,0.4613,0.9695711464646466,0.9841063804529854,1.4455483639526368,58.806
12,51.25999999999999,0.5150821778801914,0.5126,0.9742533939393941,0.9841376117933884,1.40492508102417,59.95
13,54.459999999999994,0.5424788461741853,0.5446,0.9789805555555557,0.9842403414717072,1.3693609162902831,61.146
14,52.31,0.519544197557779,0.5231,0.9755083939393941,0.9844561758035204,1.322490510635376,61.832
15,53.09,0.5240164833757488,0.5309,0.9765004545454545,0.9844228271798054,1.3093416677093506,62.398
16,51.17,0.49982668091941385,0.5117,0.9760415454545455,0.9839973495805695,1.2943580995941162,62.558
17,50.339999999999996,0.5120061826011865,0.5034,0.9714539696969696,0.9846843688583847,1.2646131310653685,63.69
18,55.21,0.5504923369684592,0.5521,0.9797000404040405,0.9847571500364968,1.2512914338302612,63.922
19,54.769999999999996,0.5420305100833969,0.5477,0.9796901313131314,0.984763038126834,1.2241743743896485,64.796
20,55.04,0.5460451364348278,0.5504,0.9795969343434343,0.9848909387826241,1.2114628061676025,65.076
21,56.00000000000001,0.5549236590238641,0.56,0.9814542121212122,0.9844588785472409,1.1924040491485595,65.526
22,55.85,0.5503946868139501,0.5585,0.9786067525252524,0.9848285271407193,1.169047939453125,66.156
23,52.949999999999996,0.5285529394124265,0.5295,0.9721473181818182,0.9849477488608959,1.1686717147827148,66.07
24,59.309999999999995,0.5934072031513761,0.5931,0.9844578282828284,0.9850816291957516,1.1580139214324952,66.348
25,58.67,0.5832519387777997,0.5867,0.9820099898989898,0.9851223892861128,1.1426415089035034,66.688
26,58.209999999999994,0.5835475481374326,0.5821,0.9820344797979799,0.9848750657288682,1.1338424506378173,67.104
27,55.88999999999999,0.5620408717139743,0.5589,0.9805142222222222,0.9849175323141524,1.11711829914093,67.398
28,59.69,0.593959338300897,0.5969,0.983332404040404,0.9849142534963583,1.1163429357528687,67.386
29,57.74,0.5768974056350822,0.5774,0.9815395808080807,0.9850406537431492,1.1009099103164672,67.88
30,55.88999999999999,0.5542292000307574,0.5589,0.9795415808080807,0.9848420661079602,1.0873510496902465,68.256
31,58.050000000000004,0.5795876822948837,0.5805,0.9807238484848483,0.9850155538579932,1.0862148488235475,68.522
32,57.58,0.5756192113686498,0.5758,0.9809858888888889,0.9851301492280505,1.076481661529541,68.65
33,57.97,0.5755451985349564,0.5797,0.9823838636363637,0.9847991424267246,1.0572481064987183,69.276
34,57.410000000000004,0.574240806410454,0.5741,0.9811683737373736,0.9851662106633043,1.0622860691833496,69.048
35,60.19,0.5984408548725287,0.6019,0.983381303030303,0.9852663875490514,1.0475278158569337,69.314
36,60.260000000000005,0.599937436835385,0.6026,0.984061717171717,0.9850801261776256,1.0346220866203308,69.662
37,60.18,0.6030356850074426,0.6018,0.9835888787878787,0.9852963402437673,1.0391152862167359,69.6
38,55.60000000000001,0.5538261283504495,0.556,0.9790389696969697,0.9851221892304338,1.029954994468689,69.93
39,58.89,0.5846583517514123,0.5889,0.9822322727272729,0.9856168291423437,1.0213501462173462,70.052
40,59.69,0.5924122770798269,0.5969,0.9825374242424243,0.9852829749900853,1.0165509481430053,70.266
41,55.00000000000001,0.5447741479493355,0.55,0.9754934343434344,0.9850279480586033,1.0130138773727417,70.304
42,57.67,0.5832832771654264,0.5767,0.9811458232323231,0.9852704769331653,0.9966993951416016,70.556
43,58.809999999999995,0.5852408649256473,0.5881,0.982267909090909,0.9853468637452191,0.9957846936416626,70.71
44,57.85,0.5769817782050608,0.5785,0.9816889393939395,0.9849217332270915,0.98433428150177,70.926
45,60.47,0.605810361124385,0.6047,0.9836857676767677,0.9852664622111054,0.9773802645111084,71.19
46,60.69,0.6044828203595897,0.6069,0.9850435656565657,0.9854788373651108,0.9688998064804077,71.576
47,58.330000000000005,0.5847236246479689,0.5833,0.981260111111111,0.9854305372377348,0.9654007897949218,71.58
48,56.489999999999995,0.5731155572594118,0.5649,0.9786229898989898,0.9850813475616258,0.9650906225204468,71.562
49,60.83,0.609744794292449,0.6083,0.9837037474747474,0.985589587003021,0.9555715326309204,71.522
50,60.370000000000005,0.6014384610693908,0.6037,0.9832297474747476,0.985574643492627,0.9430657825851441,72.096
51,58.32000000000001,0.5774654146664099,0.5832,0.9817795757575759,0.9852641727898513,0.9313526255607605,72.502
52,59.199999999999996,0.5939693939530886,0.592,0.9822000404040403,0.9854042741657678,0.9435483640289307,72.236
53,57.43000000000001,0.570474712853438,0.5743,0.9797804242424242,0.9852482237409121,0.9242907647323608,72.734
54,59.650000000000006,0.5965244298259027,0.5965,0.9831353434343434,0.9853174331629916,0.920749893989563,72.79
55,53.59,0.5406605568159746,0.5359,0.9727777676767677,0.985186489335258,0.9155729406356812,73.098
56,60.660000000000004,0.6075134893576358,0.6066,0.9835093232323233,0.9854669535590552,0.9088474453735351,73.338
57,59.43000000000001,0.5904647232353599,0.5943,0.982629424242424,0.9854483619411372,0.8918813666152954,73.478
58,61.38,0.6126172309108778,0.6138,0.9827516515151514,0.9855245683922269,0.8947661331367492,73.354
