epoch,acc,f1_macro,f1_micro,auc,ece,train_loss,train_acc,p_eff
1,4.62,0.012005239719832084,0.0462,0.6854849747474748,0.9803762266389322,4.013882088698382,10.643178273236076,nan
2,5.59,0.022181875739528206,0.0559,0.7532874191919191,0.9800574311086635,3.5125084213843443,16.19414625194972,nan
3,7.7,0.0373214498470788,0.077,0.7770578181818182,0.980123621294955,3.337865471522713,18.96504266446463,nan
4,9.04,0.0509439006149702,0.0904,0.7970137424242425,0.9803233992498741,3.190952850247821,22.22222222222222,nan
5,10.2,0.05371605456799793,0.102,0.8028943585858584,0.9806127674619877,3.0854973994938537,24.323332415817966,nan
6,11.04,0.06808842368352147,0.1104,0.8170796111111112,0.9805550284122195,2.920705379942315,27.929167813560877,nan
7,11.59,0.0707903558788211,0.1159,0.8190442676767676,0.9806662574363559,2.810740625872526,29.85595008716396,nan
8,13.459999999999999,0.08809502702768351,0.1346,0.8420039191919193,0.9808254107543337,2.692424585648836,32.14973850812001,nan
9,14.729999999999999,0.0991568418738689,0.1473,0.8566542676767678,0.9812274390527762,2.5573202271517923,35.09496284062758,nan
10,15.479999999999999,0.09747929621110604,0.1548,0.8464779898989899,0.9815227894116512,2.440822594012019,37.49885310578952,nan
11,16.61,0.11276082256273594,0.1661,0.8700329595959596,0.9815146593604323,2.315115002494677,39.44398568676025,nan
12,19.85,0.14847314609996126,0.1985,0.8856643383838383,0.9811081080716335,2.1735877928596885,43.02229562345169,nan
13,18.9,0.1402082405072823,0.189,0.8870711565656564,0.9817327708645339,2.073456284780876,45.49958711808423,nan
14,20.669999999999998,0.1554731504274505,0.2067,0.8965992222222223,0.981887872668687,1.9708189276973418,47.94935315166529,nan
15,23.11,0.16931966640080276,0.2311,0.9107493838383838,0.9819589853879416,1.8267114468589487,50.885402330489036,nan
16,21.78,0.1633844533028211,0.2178,0.901714116161616,0.9823514835451749,1.7385657033369906,52.60115606936416,nan
17,24.67,0.18399755004641194,0.2467,0.9138908080808082,0.9822136054443742,1.6850652418417476,53.647123589320124,nan
18,25.6,0.20408747846343814,0.256,0.9129011212121211,0.9824002673923518,1.5941419784536448,55.72988347554821,nan
19,26.11,0.20298104358513072,0.2611,0.916533787878788,0.9825582675651525,1.4830731184879173,58.73015873015873,nan
20,26.66,0.2138813395895782,0.2666,0.9231228585858585,0.9826422667716305,1.4318244926906942,59.500871639599964,nan
21,26.44,0.22120859015977254,0.2644,0.9220844797979798,0.9825703028827342,1.3706437872138435,61.59280667951188,nan
22,29.299999999999997,0.23766365744781115,0.293,0.9263276767676767,0.9830098542692679,1.3012073352387414,62.583723277364896,nan
23,27.33,0.22096747291668323,0.2733,0.9183774646464649,0.983156687963323,1.2244704600616008,65.36379484356362,nan
24,29.770000000000003,0.24817374340791537,0.2977,0.9299458888888887,0.983060519712233,1.1766723995635746,66.2262592898431,nan
25,29.630000000000003,0.24963372888018973,0.2963,0.9281564444444443,0.983389113893768,1.0960246566096865,68.36407009817414,nan
26,28.88,0.2376064607334022,0.2888,0.9256387272727271,0.9834251445790665,1.0601512622544498,69.15313331498302,nan
27,30.470000000000002,0.2562084209707646,0.3047,0.9279872171717171,0.983836221659148,1.0369555547222302,69.88714560968896,nan
28,31.03,0.2667280008342789,0.3103,0.927171101010101,0.9835182837575525,0.9988409232870133,70.93311312964492,nan
29,30.04,0.2525523830812528,0.3004,0.9252804545454545,0.9835833841006975,0.9053483700487568,73.30947793375539,nan
