epoch,acc,f1_macro,f1_micro,auc,ece,train_loss,train_acc,p_eff
1,14.64,0.11638068087640384,0.1464,0.8578083333333332,0.9801150850645185,3.934405897293091,9.692,nan
2,21.33,0.19611940927549953,0.2133,0.904188292929293,0.9807753192681546,3.256332706375122,19.948,nan
3,34.93,0.33393099250374886,0.3493,0.9464711010101011,0.9816479478980473,2.694702814178467,30.162,nan
4,40.26,0.38963154557032803,0.4026,0.9614521414141411,0.9822629581466209,2.2632666442108156,39.308,nan
5,41.0,0.40147622166906666,0.41,0.9654271212121214,0.9827394617646168,1.993261534461975,45.534,nan
6,43.29,0.4214796005834718,0.4329,0.9676936161616162,0.9830716024463148,1.8056285416793822,49.99,nan
7,48.63,0.4806850428730895,0.4863,0.9723362929292929,0.9835536117822532,1.6856900134658814,52.892,nan
8,51.6,0.5074049538424464,0.516,0.976203191919192,0.9839919509349806,1.5898944297027588,55.25,nan
9,50.51,0.4903535088617134,0.5051,0.974225888888889,0.983981471563753,1.5190589196777344,56.988,nan
10,48.94,0.4918458459159957,0.4894,0.9734113434343437,0.9840043886813163,1.461685855178833,58.394,nan
11,45.26,0.44084597963262434,0.4526,0.9693303434343434,0.9837537144226238,1.4096965964508057,59.708,nan
12,52.949999999999996,0.5261418144854877,0.5295,0.9777470404040404,0.984416562712401,1.3665418441009523,60.85,nan
13,55.900000000000006,0.5574683463345206,0.559,0.9804925656565656,0.9844720296824236,1.3372735926055908,61.646,nan
14,52.459999999999994,0.5190902191873864,0.5246,0.9757838787878786,0.9845188808876365,1.3054947003936768,62.496,nan
15,49.33,0.48606821042681353,0.4933,0.972856691919192,0.9844312822020049,1.2719870135498046,63.14,nan
16,55.800000000000004,0.5509772318609868,0.558,0.9805255858585856,0.984587910737769,1.253846382408142,63.642,nan
17,53.16,0.5286377442426466,0.5316,0.9788080101010102,0.9844338029619071,1.2300567953109742,64.298,nan
18,56.42,0.5618153454709307,0.5642,0.9813312727272726,0.9846776440456985,1.2215071265411377,64.428,nan
19,56.44,0.5631652522458026,0.5644,0.9797678888888889,0.9848290131303601,1.184809939880371,65.652,nan
20,57.489999999999995,0.5711562299081833,0.5749,0.9821431111111112,0.9849702639547568,1.1736087383270264,66.14,nan
21,57.76,0.5730588108844641,0.5776,0.9817298686868686,0.9848752599416898,1.1615466409683228,66.114,nan
22,56.16,0.5578708923149996,0.5616,0.9804671717171716,0.9848608168487961,1.149876548538208,66.566,nan
23,53.31,0.5276639572664632,0.5331,0.9766611818181816,0.9846571796850715,1.136673007774353,66.942,nan
24,56.379999999999995,0.5642469991782331,0.5638,0.9809832727272726,0.9848732052124415,1.1328209136199952,67.03,nan
25,56.82000000000001,0.5629756761751827,0.5682,0.9809532323232324,0.9849555126063296,1.1118660042572022,67.604,nan
26,59.260000000000005,0.5907960266824016,0.5926,0.982472191919192,0.9849118574499375,1.109772015914917,67.436,nan
27,52.400000000000006,0.5308383187741716,0.524,0.9733198787878788,0.9850359310344389,1.089394482383728,68.24,nan
28,59.13,0.5868170308090869,0.5913,0.9823133535353535,0.9851050992633378,1.0885032554626466,68.082,nan
29,56.45,0.5676154097717181,0.5645,0.9802514848484849,0.9850837465720487,1.0710230800056457,68.656,nan
