epoch,acc,f1_macro,f1_micro,auc,ece,train_loss,train_acc
1,12.65,0.09750898805313696,0.1265,0.846250595959596,0.9802373363017161,3.9444046619415283,9.068
2,21.81,0.194224756455917,0.2181,0.9023073282828282,0.9806922399022322,3.2972517366027834,19.112
3,34.22,0.3274016650188567,0.3422,0.9450659696969698,0.981468297966857,2.7638921019744873,29.134
4,37.91,0.355379575684061,0.3791,0.9571385656565659,0.9823461554660169,2.313690852890015,38.244
5,42.9,0.41542438476009663,0.429,0.9637690353535355,0.9828516574057837,2.0155629118347167,44.554
6,46.94,0.4469092414828909,0.4694,0.9705955050505051,0.9833135551281691,1.8262579398345948,49.204
7,47.370000000000005,0.4656241494257794,0.4737,0.9731075151515151,0.9834667530125691,1.6946520406341552,52.402
8,50.57000000000001,0.49969331189307653,0.5057,0.9761415252525254,0.9837321700012658,1.5970264292144776,55.022
9,48.15,0.46920932237944335,0.4815,0.9715914747474748,0.9839821479111298,1.5275044200897216,56.914
10,46.07,0.45506541347593343,0.4607,0.9687641010101011,0.9840472085808782,1.4583388452148438,58.348
11,53.49,0.5371317258975205,0.5349,0.9792074292929294,0.9841914150374593,1.4190668759536744,59.612
12,56.03,0.5526830346829729,0.5603,0.9799705858585859,0.984189132724324,1.371010828437805,60.634
13,53.2,0.5173419463234868,0.532,0.9778923030303031,0.9843998557168486,1.3407223728179931,61.624
14,55.11000000000001,0.5503259433557232,0.5511,0.9798358686868687,0.9844109527873853,1.3076289862823487,62.426
15,55.21,0.5524241365736529,0.5521,0.9797457676767677,0.9848270190837333,1.273971166152954,63.34
16,53.81,0.5349584778498808,0.5381,0.9791441919191918,0.9844411236656903,1.2422620637130737,64.046
17,54.92,0.552354067470509,0.5492,0.9816004646464649,0.9846049990152902,1.231611665763855,64.196
18,55.989999999999995,0.5526496166859838,0.5599,0.981163484848485,0.9847324737632399,1.2087177135467528,65.148
19,58.63,0.5846882649700383,0.5863,0.9828741919191919,0.9848818049552664,1.181684601135254,65.482
20,56.220000000000006,0.5606957252318359,0.5622,0.9794932626262626,0.9846835691074137,1.1766864407730102,65.746
21,54.010000000000005,0.5399699930963177,0.5401,0.979211202020202,0.9846351114706426,1.1591808539199828,66.408
22,57.87,0.573677726058237,0.5787,0.9817820656565657,0.9849375790823639,1.1456402530670167,66.662
23,57.38999999999999,0.5692037266126333,0.5739,0.9825270858585858,0.9847141064447626,1.1289561014556884,67.062
24,57.13,0.5671595388080823,0.5713,0.9820708787878787,0.9850282337062687,1.1146488291549683,67.538
25,54.02,0.5321784047784002,0.5402,0.9781857575757574,0.984675672241681,1.0950689301681518,68.212
26,56.75,0.5685063614504824,0.5675,0.9803326868686869,0.985152805624607,1.1048217603302002,67.622
27,56.11000000000001,0.554692196450566,0.5611,0.9801932626262626,0.9847792718690817,1.0869676457214354,68.236
28,56.02,0.5503189653419688,0.5602,0.9797048787878788,0.9851017896716754,1.0818913458251953,68.08
29,57.37,0.578390409289962,0.5737,0.9793990808080807,0.9852343107007279,1.0693901568984985,68.668
30,55.95,0.5614661092968389,0.5595,0.978699101010101,0.9852023773081275,1.0545465669631957,69.116
31,55.38999999999999,0.557898992369331,0.5539,0.9811050202020202,0.9850268114179567,1.0568565636825562,69.12
32,56.85,0.5726256300070002,0.5685,0.980575484848485,0.9850692918682811,1.0422580250549316,69.548
33,56.19,0.5624717864448576,0.5619,0.9799051616161616,0.9848954052118097,1.0334171000289918,69.624
34,59.67,0.5966962472002872,0.5967,0.9827510606060605,0.9853240874743925,1.030554616279602,69.864
35,57.69,0.5722007950716695,0.5769,0.9823044898989902,0.9851505475789658,1.0201479518508911,69.966
36,57.120000000000005,0.5776757061116684,0.5712,0.9820401717171718,0.9850223783195847,1.0124934360122682,70.136
37,57.699999999999996,0.5743342975928085,0.577,0.9801420000000001,0.9850394872242805,1.002350782737732,70.76
38,58.39,0.5775341003345041,0.5839,0.9806190101010102,0.9852403391416944,1.004516237411499,70.472
39,58.809999999999995,0.5857437090373351,0.5881,0.9830863737373738,0.9852860492293467,0.99108988697052,70.572
40,57.87,0.5777077809904484,0.5787,0.9820069747474747,0.9851683543693315,0.985443521118164,70.904
41,61.01,0.6078151124210439,0.6101,0.9846244343434343,0.9852179944149739,0.9789667223358154,71.206
42,59.17,0.589539831971695,0.5917,0.9826661717171716,0.9851736372986353,0.9720811980819702,71.336
43,59.38,0.5882763471430147,0.5938,0.9826258282828283,0.9850128893904833,0.9673743222808838,71.418
44,58.35,0.5901706854438405,0.5835,0.979948101010101,0.9854903879580549,0.9577658685302735,71.654
45,59.81999999999999,0.5951644538388214,0.5982,0.9822899292929295,0.98533309900373,0.9444782263374328,72.166
46,60.97,0.6115925271075409,0.6097,0.9836231515151515,0.9852096499053532,0.9404473500442505,72.016
47,58.41,0.5860489950669459,0.5841,0.9808441818181819,0.9852291254965485,0.9406522816085815,71.886
48,58.84,0.5863402434705133,0.5884,0.9809138181818184,0.9856122695707151,0.9226145901298523,72.698
49,59.62,0.5947338619552185,0.5962,0.9832094747474747,0.9854793029790229,0.923913736038208,72.82
50,60.29,0.5977887284739931,0.6029,0.983499696969697,0.9853393426470421,0.9230262610626221,72.782
51,60.550000000000004,0.6071827056374178,0.6055,0.9835064646464646,0.9854811240866355,0.9061778517532348,73.024
52,59.72,0.5952576959758936,0.5972,0.9835790909090909,0.9854291465845992,0.9115113529205322,72.858
53,59.08,0.5936925025546717,0.5908,0.9833851414141414,0.9854901303257013,0.8980553326797486,73.372
54,57.120000000000005,0.57131299108401,0.5712,0.9798556515151514,0.9854477739700508,0.8935955856704711,73.414
55,58.75,0.5844226033140877,0.5875,0.9828320858585858,0.9855682665853704,0.890775186328888,73.732
56,59.63,0.5973421816085861,0.5963,0.983233404040404,0.9853356188535405,0.8753813154983521,74.062
57,59.25,0.598196586317652,0.5925,0.9807814747474748,0.9854295384564945,0.8674214320755005,74.238
58,53.64,0.5403464402352258,0.5364,0.9764180101010101,0.985171547680212,0.872860592956543,74.114
59,61.69,0.6179801936435316,0.6169,0.9839663232323234,0.9857159704782075,0.8582844970321655,74.57
60,61.0,0.6125543764592017,0.61,0.9826306161616162,0.9859037530622008,0.8487509302139282,74.76
61,62.419999999999995,0.6223335645185336,0.6242,0.9848704646464645,0.9856822428666961,0.8500429001235962,74.732
62,59.9,0.5979132263810889,0.599,0.9820903181818181,0.9858157187049632,0.8400058368492126,74.93
63,61.529999999999994,0.6132829946410729,0.6153,0.9831685151515149,0.9857342104075839,0.8356110975265503,75.014
64,59.199999999999996,0.5937595029461569,0.592,0.9810392575757575,0.9855567809008017,0.8257145038223267,75.43
65,60.85,0.602650333605572,0.6085,0.9828928939393939,0.9858162691924636,0.8184809623527527,75.472
66,61.309999999999995,0.6149210425691597,0.6131,0.9832540101010099,0.9854122904697438,0.8075356762886048,75.782
67,59.760000000000005,0.59622236053948,0.5976,0.9832690202020202,0.9856643152274939,0.8034780604934693,75.816
68,61.58,0.6213757064891703,0.6158,0.9844598636363634,0.9856552580168793,0.8024373797225952,75.982
69,61.46,0.61908903309301,0.6146,0.9817789999999998,0.9857665540984555,0.789406151752472,76.292
70,62.88,0.6260326609885305,0.6288,0.9847462020202019,0.9857787705962268,0.7801599914932251,76.426
71,63.67,0.6338647244448229,0.6367,0.984634505050505,0.9858930852987454,0.7683044458389282,76.716
72,59.75,0.5930193573422325,0.5975,0.9818322424242426,0.9858512558996381,0.7665816958236694,76.772
73,57.989999999999995,0.5842633173644105,0.5799,0.9803787777777777,0.9856278977719568,0.7587749972343445,77.13
74,60.77,0.6093339729542397,0.6077,0.982822686868687,0.9858610743010874,0.7594912115287781,76.96
75,61.550000000000004,0.6183829948929302,0.6155,0.9827350909090908,0.9859308552488923,0.7457333436965943,77.452
76,62.06,0.6221043323447156,0.6206,0.9842816363636361,0.9860512950843922,0.7386107954788208,77.838
77,62.22,0.6229980545839552,0.6222,0.9831350505050506,0.9862164584271085,0.7259938790893554,78.048
78,59.650000000000006,0.5930190293468134,0.5965,0.9802639696969697,0.9858871603646284,0.7266784713745117,78.116
79,60.589999999999996,0.6015026070002197,0.6059,0.9824171616161615,0.9856566952838586,0.7098942331695557,78.596
80,61.89,0.6177394618091145,0.6189,0.9835902525252526,0.985866564593389,0.6969361920166015,78.786
81,62.62,0.6271781164026836,0.6262,0.9855544545454547,0.9859072802185395,0.6975505894660949,78.88
82,63.54,0.63885083833507,0.6354,0.9845972828282828,0.986026235204811,0.6961041264152527,79.02
83,63.019999999999996,0.6334642816145393,0.6302,0.9839768888888889,0.9858514707493049,0.6795460230827332,79.218
84,63.04,0.6301690039728851,0.6304,0.9843911111111113,0.9861626193602023,0.6801425062942504,79.426
85,62.339999999999996,0.6253767169200629,0.6234,0.9840476919191918,0.9859818298361864,0.662778009853363,79.722
86,63.43,0.6349039046281687,0.6343,0.9852325454545456,0.9860838778098584,0.6420945059585571,80.474
87,63.44,0.636077950947876,0.6344,0.985560101010101,0.9861540006570374,0.6547028217697144,80.116
88,64.94,0.6451500479145784,0.6494,0.9853407272727273,0.9861680971457257,0.6240797033119202,80.988
89,59.599999999999994,0.5911905713052129,0.596,0.9799162727272727,0.9860650724723778,0.6353203434753418,80.82
90,62.239999999999995,0.6328652647193035,0.6224,0.9822737828282828,0.9862838189453264,0.615780688381195,81.104
91,62.29,0.6319970876927488,0.6229,0.9826378484848485,0.9863290346853734,0.608053519859314,81.566
92,62.18,0.6211877169402491,0.6218,0.9827953181818182,0.9861473387800241,0.6006091904449463,81.598
93,63.660000000000004,0.636751352710628,0.6366,0.9839813131313132,0.9862955317047841,0.5884511636543274,82.04
94,61.95,0.6223898311650403,0.6195,0.9830016262626263,0.9858689181459365,0.5850902656173707,81.97
95,61.45,0.6147186909833745,0.6145,0.9830705454545455,0.9863129665835776,0.5742856729221344,82.434
96,65.52,0.6552507989027607,0.6552,0.985833803030303,0.9864027383840052,0.5656995371627808,82.488
97,63.0,0.6336392809344833,0.63,0.9836411363636363,0.9863214643736687,0.5504934696006775,83.21
98,64.79,0.6515800089398937,0.6479,0.9855557777777778,0.986341229106446,0.5312348135185242,83.62
99,64.11,0.6412387796104991,0.6411,0.9837589595959596,0.986267406567854,0.5294693203544617,83.786
100,62.3,0.6238285897951884,0.623,0.9830408484848485,0.9859385797751989,0.5229039617538452,83.752
101,61.35,0.6146286377563861,0.6135,0.979912494949495,0.9859398750473839,0.5161973808288575,84.236
102,62.55,0.629753686334233,0.6255,0.9817086464646464,0.9861059980891868,0.5100038473701477,84.306
103,63.12,0.6346412738727905,0.6312,0.9832658989898992,0.9862976820863869,0.48810637914657595,85.104
104,65.66,0.6555497883411574,0.6566,0.9852946363636363,0.9864763822818099,0.4795145577812195,85.196
105,65.16999999999999,0.6505157228126573,0.6517,0.9840784595959596,0.9864684937776472,0.4778595391464233,85.286
106,65.55,0.6573018758966165,0.6555,0.9858709595959596,0.9864556248536089,0.45976669928550723,85.758
107,64.92999999999999,0.6472917891947176,0.6493,0.9850308686868685,0.986361428582328,0.4598936884880066,85.728
108,65.02,0.6516909395974766,0.6502,0.9845423383838384,0.9866141928232695,0.43260959827423096,86.614
109,65.25999999999999,0.654336461385236,0.6526,0.985190797979798,0.9863796897139362,0.4375725831890106,86.44
110,66.12,0.6647844253884136,0.6612,0.9860114595959595,0.9866225866244261,0.42433916761398316,86.67
111,65.89,0.6624598064898486,0.6589,0.9848238282828282,0.9866164684579287,0.4118402829170227,87.188
112,66.24,0.6663617597448201,0.6624,0.9853899393939394,0.9865480866235086,0.4077174550628662,87.322
113,64.02,0.6431142928345586,0.6402,0.9837028737373739,0.9863184716249715,0.3806048919773102,88.212
114,65.61,0.6551742433206352,0.6561,0.9852358888888891,0.9864780913047626,0.38791592119216917,87.946
115,66.62,0.6679909777058061,0.6662,0.9847417474747476,0.9867253569947931,0.3679558287811279,88.656
116,67.25999999999999,0.6731937524157651,0.6726,0.9851255454545454,0.9866228202965348,0.3595589248847961,88.844
117,66.13,0.6637853956151935,0.6613,0.985432893939394,0.9867177112010783,0.35300345193862914,89.256
118,66.25,0.6615478057694975,0.6625,0.984637595959596,0.9866337213003925,0.3436867353439331,89.348
119,66.25,0.6597996863078869,0.6625,0.985156202020202,0.9864216145341166,0.3398543271160126,89.614
