epoch,acc,f1_macro,f1_micro,auc,ece,train_loss,train_acc,p_eff
1,12.04,0.08880437150585221,0.1204,0.8464109090909091,0.9801906734701216,3.982371133270264,8.588,0.056741937899681
2,24.21,0.2239678065188517,0.2421,0.9082779898989901,0.9807836562310243,3.34022754196167,18.204,0.06458340228899666
3,29.9,0.2786753611484927,0.299,0.9372786363636362,0.9816521421498376,2.7960211405181883,28.308,0.06426859511743727
4,35.8,0.34278999107326524,0.358,0.948895383838384,0.9825732162370783,2.362002272109985,36.92,0.05828137312779951
5,41.44,0.4009519118934891,0.4144,0.9611112020202021,0.9830288280831048,2.0612911797714233,43.664,0.04749193118737482
6,44.37,0.43498994819678066,0.4437,0.965742611111111,0.9832788215174785,1.8679743469238281,48.35,0.03744175709078989
7,44.230000000000004,0.43877777352467184,0.4423,0.9672275505050506,0.9838946710510905,1.7401957418823242,51.546,0.031454826802815625
8,49.36,0.48352165580836676,0.4936,0.9739574747474748,0.9840265708399847,1.634207974319458,53.978,0.027592822413920137
9,48.11,0.472243825481039,0.4811,0.9734339595959594,0.9841655111662837,1.566515523109436,55.384,0.026670555448364417
10,51.23,0.5124727227597946,0.5123,0.975887888888889,0.9842611587940994,1.5030613245391846,57.256,0.025987385117146364
11,48.209999999999994,0.46695530815873965,0.4821,0.9693836363636363,0.9839057954441338,1.4516229638290405,58.788,0.025808046540945692
12,51.83,0.5074155539219726,0.5183,0.9729142121212122,0.9847349548215779,1.4139036734390258,59.862,0.02561007058509933
13,51.839999999999996,0.5187814800939342,0.5184,0.9757111515151514,0.9840912380051995,1.3797759029388428,60.448,0.025306813857134652
14,54.769999999999996,0.5376650737354226,0.5477,0.9783134949494949,0.9845749989820066,1.3442146967697144,61.578,0.02546221740505732
15,54.84,0.5490413906294138,0.5484,0.9779333535353536,0.9846290226121178,1.32453069316864,61.68,0.02512994751600963
16,54.190000000000005,0.5317014865892995,0.5419,0.9788749393939393,0.9848106255533654,1.2972602703094482,62.632,0.025350881902420002
17,54.72,0.5368788369562577,0.5472,0.9780964141414143,0.9850221970511666,1.2747263765716552,63.198,0.025427736832624507
18,54.010000000000005,0.5293660955340442,0.5401,0.9762041414141414,0.984938795231545,1.2523816902542115,63.9,0.02509003759021192
19,55.82,0.5527420487927901,0.5582,0.9800757929292929,0.9849629379481949,1.2350050424575805,64.452,0.025385666872038866
20,53.879999999999995,0.5386010429393242,0.5388,0.9784420303030303,0.9850570522299235,1.219209648208618,64.48,0.025700798915589556
21,57.9,0.5774030663014273,0.579,0.981963217171717,0.985163191404029,1.2005161428070068,65.006,0.025157170408331524
22,56.15,0.5570494916442837,0.5615,0.9802824040404041,0.9852375840380936,1.1916623636627197,65.754,0.024792416078393418
23,57.05,0.5739696254910467,0.5705,0.9807613181818182,0.985211862371592,1.1863940617752076,65.514,0.02529000577604984
24,56.57,0.558644000997945,0.5657,0.978901378787879,0.9851760186010773,1.1622154990386964,66.148,0.02516550615506099
25,54.85,0.5411339835629925,0.5485,0.977456813131313,0.9853575111742845,1.1529476469802857,66.744,0.02493303108607869
26,56.37,0.5685774012652053,0.5637,0.9809560858585858,0.9854494544275713,1.1453016772842408,66.458,0.02497968454476055
27,56.830000000000005,0.5684551030824824,0.5683,0.9796058131313131,0.985127828888287,1.1341223754119873,66.914,0.025081874526408324
28,57.63,0.5750176068298203,0.5763,0.9806136969696972,0.9853572738769749,1.1284130116271973,67.16,0.025515241696096747
29,53.39,0.5305076845390639,0.5339,0.9727838585858585,0.9850988615971832,1.1190430397796631,67.274,0.02548986274148802
30,58.89,0.5872891718482945,0.5889,0.9816713030303031,0.98546817041981,1.1066615719985962,67.724,0.025635946132337956
31,54.66,0.545377986605979,0.5466,0.9759736969696969,0.9854748436026826,1.0947570598602294,68.064,0.02572754569961439
32,56.88999999999999,0.5745798926689517,0.5689,0.9801094040404041,0.9853331615023037,1.095713581428528,67.904,0.025488108563263095
33,57.25,0.5723217871113456,0.5725,0.9811363939393938,0.9852230976037282,1.0951566361618041,68.004,0.02552205254145138
34,58.309999999999995,0.5835419021861058,0.5831,0.9828364343434344,0.9854526481671848,1.0760824840545655,68.706,0.025072938769750888
35,59.77,0.5941740560534281,0.5977,0.9823542222222224,0.9853913669848324,1.0711778243255616,68.726,0.02516244463813122
36,55.61000000000001,0.5426807318783166,0.5561,0.9774559393939394,0.9853267007400153,1.0642719927978515,68.716,0.02510173339158525
37,59.19,0.5881765435510313,0.5919,0.9819320202020201,0.9855773081756037,1.0506013802337646,69.352,0.025437128208482356
38,53.169999999999995,0.5333711294224686,0.5317,0.97091698989899,0.9854979818639562,1.0421888958358765,69.444,0.025788306704033977
39,58.879999999999995,0.5855351268658918,0.5888,0.9821080202020201,0.9855091247367147,1.0407957947921753,69.576,0.025435969166819703
40,54.83,0.5477365327154683,0.5483,0.9769087878787878,0.9852217239230722,1.033224104309082,69.666,0.025202098952801635
41,56.43,0.5671388736557678,0.5643,0.9801894848484849,0.9853480395210977,1.0223691564941406,69.842,0.025555176017305736
42,57.34,0.5757521345146567,0.5734,0.978464787878788,0.9854519864345613,1.0263362600326538,69.93,0.02607734855788443
43,57.589999999999996,0.5728042009628421,0.5759,0.9789812323232322,0.9853555171399749,1.0082499881744384,70.552,0.025851318479308386
44,60.72,0.6069673424908406,0.6072,0.9833638484848484,0.9856164817484696,0.9993350225830078,70.59,0.025718956285387354
45,55.55,0.5621347983701817,0.5555,0.9749287424242425,0.9853291616652937,1.0071885444831847,70.572,0.025853420953121025
46,59.11,0.5836723205245974,0.5911,0.9818028484848484,0.9857207100375791,0.9897525436401368,70.924,0.025205824871921478
47,59.230000000000004,0.5966842684398048,0.5923,0.9811492222222222,0.9857689759171195,0.9831849743843079,70.976,0.025465128671787584
48,62.239999999999995,0.6200381655997189,0.6224,0.9852450858585857,0.9858115449409519,0.9901088319396972,70.576,0.02533336649255832
49,60.309999999999995,0.5957928286910462,0.6031,0.9820874343434342,0.9857947760814235,0.9693599037933349,71.482,0.025425956315358583
50,58.79,0.5870130804816657,0.5879,0.9818882121212121,0.9856714190142345,0.9710693100357055,71.118,0.02560146556466894
51,58.43000000000001,0.5808179416024594,0.5843,0.9803303484848485,0.9855913798009531,0.9573764854812622,71.61,0.025793778988749475
52,59.0,0.5888231043597892,0.59,0.9794289696969698,0.9856640217566018,0.9583464881706237,71.694,0.025456696339046864
53,60.309999999999995,0.6008805518893464,0.6031,0.9820772929292931,0.9857228644952626,0.9478345225143433,71.56,0.025274592835237
