epoch,acc,f1_macro,f1_micro,auc,ece,train_loss,train_acc
1,5.83,0.027929273756435405,0.0583,0.733313722222222,0.9800000000838189,4.503866428833008,2.362
2,10.34,0.06539125912257025,0.1034,0.8131372424242422,0.9799999999677007,4.330517501525879,3.714
3,14.37,0.10829716538705368,0.1437,0.8563516818181819,0.9800078571193299,4.150325589904785,5.4
4,17.91,0.14759650496292384,0.1791,0.87929347979798,0.980060578714916,4.022757915802002,6.872
5,21.67,0.18800787100658897,0.2167,0.8979409848484846,0.980151162879528,3.912341957092285,8.578
6,22.31,0.19828822408877358,0.2231,0.90416197979798,0.9802017959042908,3.8488240730285646,8.692
7,22.770000000000003,0.20359992004182928,0.2277,0.9093273484848485,0.9802433158111016,3.8264253749084474,9.59
8,24.48,0.220833981043317,0.2448,0.9170671111111113,0.9803367045898667,3.759062036972046,9.404
9,28.34,0.2595670076973578,0.2834,0.9254892323232323,0.9804536257073821,3.6931187139892576,10.324
10,29.020000000000003,0.26692481381833155,0.2902,0.9293460404040406,0.9806116647430508,3.6322785055541993,10.446
11,32.5,0.3069812790235619,0.325,0.9350524595959597,0.9807138116858444,3.5962322086334226,11.796
12,35.79,0.33493201465391936,0.3579,0.9439255808080809,0.9809145558054003,3.509126222229004,12.482
13,37.09,0.35319118647660075,0.3709,0.9488277323232324,0.9810739812361597,3.4575367070770264,14.54
14,37.99,0.3656919018331656,0.3799,0.9514338888888889,0.981187075922169,3.3562401090240477,14.928
15,40.73,0.39392984063028025,0.4073,0.9548045454545453,0.9812594289379756,3.3263015016174315,14.21
16,43.03,0.4137032815520883,0.4303,0.9604358181818182,0.9815816891942842,3.2462120948028566,15.676
17,43.86,0.42582714479763395,0.4386,0.9621751010101011,0.9817731174095257,3.18993766998291,17.938
18,45.0,0.43757513887152294,0.45,0.963063717171717,0.9819057784376543,3.1606544396209717,18.776
19,46.25,0.453528055611433,0.4625,0.9650916666666666,0.9821011226966013,3.069496626968384,18.68
20,47.75,0.4662454249730474,0.4775,0.9680721616161617,0.9821886381908534,3.0002451721191408,18.97
21,49.669999999999995,0.48781430412179916,0.4967,0.9698846767676769,0.9823094549133217,3.025362682800293,20.464
22,50.63999999999999,0.49518257118813286,0.5064,0.9716069191919192,0.9825509546711602,2.9248728858947755,21.38
23,50.470000000000006,0.4970115674876547,0.5047,0.9713081010101011,0.9824418471318859,2.9346472402954102,21.476
24,52.09,0.5162842670649868,0.5209,0.9735332222222222,0.9826457525498625,2.906286234664917,21.816
