epoch,acc,f1_macro,f1_micro,auc,ece,train_loss,train_acc
1,13.18,0.10433750236750415,0.1318,0.8474069292929294,0.9802174582166688,3.9426961219024657,9.126
2,22.34,0.1966580973205134,0.2234,0.906670409090909,0.9807587703674083,3.276915750732422,19.518
3,31.680000000000003,0.2993805273244592,0.3168,0.9406379090909089,0.981716300450607,2.7326766149902344,29.718
4,38.940000000000005,0.3638372114165422,0.3894,0.9590718484848485,0.9825681744383732,2.302163529891968,38.644
5,42.809999999999995,0.4143184532804646,0.4281,0.9645682929292931,0.982997876143816,2.013504718170166,44.806
6,47.39,0.45498558795363714,0.4739,0.9715931616161616,0.9834248927543184,1.827294807472229,49.228
7,46.339999999999996,0.4584918196122226,0.4634,0.9698535151515152,0.9836880907752135,1.706610177001953,51.97
8,49.11,0.4931457203522549,0.4911,0.9740587474747474,0.9837473322990945,1.6049424250030517,54.924
9,52.01,0.5143328141253596,0.5201,0.9751006666666667,0.9841016256592146,1.5413166174316406,56.322
10,47.22,0.46658751918936764,0.4722,0.9704301818181817,0.9842164501722419,1.47425618019104,58.06
11,50.349999999999994,0.49670076374592,0.5035,0.9751793737373735,0.9842952534681843,1.4335872797775269,59.042
12,52.370000000000005,0.5141951698450631,0.5237,0.9753151111111111,0.9844129971581788,1.3894863733291627,60.262
13,52.17,0.5116621465316173,0.5217,0.9764474191919191,0.9847138144479756,1.3572466237640382,61.306
14,51.62,0.5156454603001109,0.5162,0.9761350252525253,0.9847307383142074,1.3228603029251098,61.824
15,53.21,0.5308752581838894,0.5321,0.9774875454545456,0.9845944170504245,1.2941633885574342,62.736
16,53.21,0.527688683561391,0.5321,0.9768492525252525,0.9845771779417906,1.2730884426879883,63.342
17,51.519999999999996,0.5175168711458664,0.5152,0.9767661414141415,0.9850399022217737,1.244330806350708,63.894
18,52.629999999999995,0.5152936376597865,0.5263,0.9775058787878786,0.9849372663473688,1.2204587654876708,64.866
19,56.88999999999999,0.5650654927793199,0.5689,0.9819517676767675,0.9849527755383771,1.2103335566711426,64.85
20,53.26,0.527342461842191,0.5326,0.9760076464646464,0.9849468074957799,1.1906250330352783,65.778
21,55.83,0.5539531888640832,0.5583,0.9791755707070707,0.9849626907704997,1.1847314292144775,65.618
22,55.31,0.5482497944994846,0.5531,0.9806610858585859,0.9849494516572765,1.1598150022125244,66.23
23,58.230000000000004,0.5748945931254049,0.5823,0.9818286565656565,0.9849476306537475,1.1506301959609986,66.662
24,53.21,0.535830054764139,0.5321,0.9760987272727271,0.9850613597119833,1.1329149354934693,66.99
25,56.52,0.564703878294225,0.5652,0.9779818282828283,0.9849839070600084,1.1162267734909057,67.538
26,57.68,0.5750014729897241,0.5768,0.9806651111111111,0.9853748385775799,1.1186638668060302,67.64
27,56.85,0.5645754490320916,0.5685,0.9808708787878788,0.9850482853704312,1.106253298034668,67.806
28,55.13,0.542888138262016,0.5513,0.9787748787878787,0.9852192978627208,1.0949721354293824,68.064
29,55.85,0.5628939311193061,0.5585,0.9783046161616161,0.9853687660573727,1.089278740348816,68.008
30,57.89,0.5729094214186476,0.5789,0.9799212424242423,0.9852168633301746,1.0785813711929322,68.604
31,53.949999999999996,0.5403946487792094,0.5395,0.978690398989899,0.985204919769264,1.073039720878601,68.658
32,57.3,0.5768352314677655,0.573,0.9804891616161616,0.9854464230472587,1.0635632634735108,69.08
33,57.010000000000005,0.5720873340589969,0.5701,0.9799927272727273,0.9850764792487599,1.0506727644348144,69.192
34,58.379999999999995,0.5822176983359402,0.5838,0.9818779090909092,0.9854147109151193,1.0498207773971557,69.196
35,59.709999999999994,0.5951331208982337,0.5971,0.9822131666666667,0.9855747917941083,1.0307198066711425,69.824
36,59.61,0.5976544660004666,0.5961,0.983191080808081,0.985551142391449,1.0333364626312256,69.946
37,57.78,0.5731302336350996,0.5778,0.9808648282828281,0.9853532242606662,1.0169338921356201,70.234
38,59.91,0.5986006256081933,0.5991,0.9828179797979797,0.9856078250172274,1.0107870814132691,70.26
39,59.14,0.5906016582603009,0.5914,0.9819659898989899,0.9854303568068583,1.0167273204231262,70.322
40,58.220000000000006,0.579620657963814,0.5822,0.9811419595959595,0.9850881902234722,0.9970783636474609,70.802
41,58.01,0.5802249896246459,0.5801,0.9788636161616162,0.9853148381267726,0.9926884926605225,70.928
42,60.31999999999999,0.6036264718028312,0.6032,0.9825910707070706,0.9857394171633984,0.9894398663330078,70.984
43,60.81999999999999,0.6098460149507723,0.6082,0.9828003535353534,0.9855922943986475,0.9902641626739502,70.88
44,54.33,0.5460298521640018,0.5433,0.9735236262626262,0.985207580662555,0.9660335193252564,71.756
45,58.79,0.587282187343578,0.5879,0.9810756363636363,0.9854692846040847,0.9734243897628784,71.466
46,57.85,0.5775186881695707,0.5785,0.9790992929292928,0.9854570189628856,0.9566210558891296,71.818
47,58.379999999999995,0.5821873015265332,0.5838,0.9815352626262625,0.9854031311277538,0.9604760568237305,71.8
48,53.99,0.5450995046672213,0.5399,0.9740405353535354,0.985460159810147,0.9446128086853027,72.184
49,59.4,0.5956679478490634,0.594,0.9815307373737373,0.9857702554214343,0.947946704750061,72.294
50,61.050000000000004,0.6129777829129778,0.6105,0.9836303434343437,0.9856450439722595,0.9365486169624329,72.234
51,58.34,0.5853892668726277,0.5834,0.9811231313131314,0.9857265905304753,0.9195457155990601,72.754
52,59.050000000000004,0.5926331211191692,0.5905,0.9817353636363636,0.9857651988072174,0.9197518672943116,72.734
53,59.85,0.5992556583175753,0.5985,0.9841280353535353,0.9856712511408241,0.9140861107063294,73.004
54,59.27,0.5918677593225214,0.5927,0.9825613737373737,0.9856270353757374,0.9095576397132874,73.246
55,60.4,0.6026121475011965,0.604,0.9833136969696971,0.9858522635821789,0.9028522707939148,73.358
56,59.650000000000006,0.598004107646331,0.5965,0.9830707979797979,0.9856338158543536,0.8972688557815551,73.454
57,58.58,0.580865309402467,0.5858,0.9815075252525253,0.9857060175165903,0.8876734122085571,73.658
58,59.57,0.5951478556555775,0.5957,0.9818370000000001,0.9855906324403348,0.880806480846405,73.68
59,60.81999999999999,0.6086846800712329,0.6082,0.9832291010101012,0.985706153136352,0.886577952709198,73.608
60,61.18,0.6150099456189833,0.6118,0.9830524595959597,0.9858477232836801,0.870253250694275,74.058
