epoch,acc,f1_macro,f1_micro,auc,ece,train_loss,train_acc,p_eff
1,5.1499999999999995,0.014309018613490184,0.0515,0.6769654242424243,0.9812886659298808,3.9016170153017162,10.533076429030187,0.1003557669735232
2,7.199999999999999,0.02856224152286146,0.072,0.7527075050505051,0.980818567483532,3.5326038391308585,16.12992017616295,0.10034580303486003
3,7.720000000000001,0.03132410758269213,0.0772,0.7678605202020202,0.9812300627482835,3.3415134526664088,19.763281034957334,0.10031077499653018
4,8.84,0.04222936505522636,0.0884,0.774250393939394,0.9810933452304039,3.2047937088728453,22.589228369575192,0.1002003775779591
5,11.219999999999999,0.062221205002234076,0.1122,0.8027655050505053,0.9817883875512508,3.0783869938430835,24.827965868428297,0.10011567920446396
6,10.9,0.06305479668055154,0.109,0.8115063636363635,0.9824473120578423,2.9274509360849534,27.6722635104138,0.1001506231205408
7,10.4,0.0598556354741446,0.104,0.8082360303030302,0.9823079384654884,2.8058501834748633,29.947701624002203,0.10029410614177238
8,13.5,0.08180702728873007,0.135,0.8286698484848485,0.9821880285395715,2.697085106588305,32.10386273970089,0.10015379810749098
9,12.83,0.08442073582283259,0.1283,0.8263281818181818,0.9834003058635037,2.526034227149488,36.04000367006147,0.10036193960627844
10,14.82,0.10544319346079493,0.1482,0.8198383636363638,0.9833084639484895,2.402206111341477,38.74667400678961,0.10016454652298329
11,18.490000000000002,0.12808629238530814,0.1849,0.865303292929293,0.9829308075837997,2.303097343650452,40.18717313515001,0.10039106574515964
12,18.92,0.13070191240942447,0.1892,0.8650780303030303,0.9835362092704136,2.174572007460751,43.62785576658409,0.1001989021897316
13,21.23,0.15228277971798312,0.2123,0.876494106060606,0.9833844473551662,2.0796655230767596,46.52720433067254,0.10038617253303528
14,21.7,0.16215238901963727,0.217,0.8909464090909093,0.9833645858979608,1.9487444072570788,48.142031379025596,0.10019091793964076
15,22.97,0.17020909757356775,0.2297,0.8963987777777779,0.9838882189089304,1.8534536435304623,50.86705202312139,0.10020517748455669
16,24.93,0.18996986146117925,0.2493,0.9022881010101008,0.9837732924534055,1.7554355449595138,52.85806037251124,0.10012498012808867
17,25.86,0.1916183475214931,0.2586,0.901901803030303,0.9840639073872359,1.6760144621880297,55.087622717680524,0.1003077027582845
18,27.229999999999997,0.2136890170699686,0.2723,0.9092484343434343,0.9842076331939049,1.5967453553355258,56.89512799339389,0.10023388344534608
19,27.37,0.2137733614261485,0.2737,0.9152527121212121,0.9841513171336616,1.5318625537897865,58.042022203871916,0.10028883936100227
20,27.49,0.21449570676476754,0.2749,0.9085516767676767,0.9844236664491602,1.477996785779187,59.565097715386734,0.10025255070176235
21,28.050000000000004,0.22416690935010755,0.2805,0.9147634292929293,0.9844505443808882,1.3998390756426453,61.3726029911001,0.1002571358410425
22,27.48,0.21256946686052391,0.2748,0.9152103232323232,0.984610205559151,1.3649121631514163,62.59289843104872,0.10031339907368948
23,29.39,0.23844010078852698,0.2939,0.9095821767676767,0.9850567330580224,1.281776367278151,64.09762363519589,0.10043400326787039
24,28.49,0.2268983804925806,0.2849,0.9109776464646465,0.98524101196681,1.2505500800938374,65.20781723093862,0.10032129928816197
25,30.04,0.24814406876256254,0.3004,0.9213689191919192,0.984942853981117,1.1788427065311085,66.87769520139463,0.10029260268391565
26,28.93,0.238337382798803,0.2893,0.9096947222222223,0.9849957784442455,1.1290788727732401,68.24479310028443,0.10025213979357897
27,32.23,0.268394943259016,0.3223,0.9215467777777778,0.9850922527642001,1.1071209350477962,68.31819432975503,0.10013468260335368
28,31.55,0.25895017036572493,0.3155,0.9227318080808081,0.9852342050772428,1.0836267170747251,69.2540600055051,0.10035374994541324
29,29.630000000000003,0.2451355926559075,0.2963,0.9092862424242425,0.9854151970384865,0.9758228298851914,71.7588769611891,0.10036985844720242
30,32.34,0.27213022362848793,0.3234,0.9240021464646465,0.9855212476339439,0.9927545844256216,71.69465088540233,0.10026008670413217
31,27.839999999999996,0.23694374781012378,0.2784,0.903552126262626,0.9856172933316083,0.9419183869330815,72.859895403248,0.1003660577847514
32,30.28,0.25125027517584014,0.3028,0.9190838737373737,0.985527090059315,1.0003351936242768,71.67630057803468,0.10026828572154045
