epoch,acc,f1_macro,f1_micro,auc,ece,train_loss,train_acc
1,15.17,0.12309737385635822,0.1517,0.8656802727272728,0.980196399423987,3.83324982421875,10.496
2,27.01,0.2541488344587975,0.2701,0.9257253636363636,0.9810220034269593,3.084292705078125,22.568
3,33.379999999999995,0.31754429805055595,0.3338,0.9485191616161616,0.9817035217147831,2.533106000442505,33.444
4,36.78,0.3529776304221888,0.3678,0.9552480707070707,0.982377034455402,2.1697348098754885,40.95
5,40.63,0.40235720226303817,0.4063,0.959964383838384,0.9824914861333679,1.937066481781006,46.728
6,45.629999999999995,0.4443853600217958,0.4563,0.9701423939393939,0.9833289627156012,1.7714192602920533,50.408
7,49.9,0.4906134411137279,0.499,0.9750703333333334,0.9834687973952608,1.6567227972412109,53.334
8,49.89,0.4940950843084616,0.4989,0.9740022727272729,0.9837780920637462,1.5771780660247803,55.468
9,49.669999999999995,0.48890662552885045,0.4967,0.9738581616161617,0.9836667122534248,1.513606332168579,57.278
10,52.739999999999995,0.5216898229750339,0.5274,0.9774181010101008,0.9840865446775859,1.455426955718994,58.728
11,50.5,0.50282692957521,0.505,0.9757898737373736,0.9839093390264823,1.4101046886825561,59.914
12,49.4,0.48721421618692445,0.494,0.9765102424242424,0.9839211346849664,1.3658121240615844,60.948
13,54.67999999999999,0.5435371914795043,0.5468,0.9796665555555555,0.984237675644406,1.3370774656295776,61.872
14,50.43,0.5013560620354908,0.5043,0.9757226262626263,0.9843702144862191,1.3057686032867433,62.482
15,53.61,0.5381234946573857,0.5361,0.9780970606060606,0.9840629933399891,1.275638895149231,63.34
16,56.03,0.5567985853386129,0.5603,0.9805925353535352,0.984435965282008,1.2526988190460204,63.904
17,55.75,0.5495692231027979,0.5575,0.9792640808080807,0.9845031101901464,1.2300194594573974,64.344
18,54.49,0.5398159559609136,0.5449,0.9790271313131313,0.9845432380804879,1.2160910535812377,64.642
19,52.65,0.5379286974776025,0.5265,0.9741761616161615,0.9845100709933332,1.187866438484192,65.408
20,58.19,0.5783178943640437,0.5819,0.9822090303030302,0.9847953680973531,1.1727186943817138,66.052
21,53.349999999999994,0.5320535646259562,0.5335,0.9766461111111111,0.98451577416679,1.1648889657592774,66.14
22,54.93,0.5540775774508134,0.5493,0.9790233232323233,0.9848235470121768,1.1573837768363953,66.336
23,53.63,0.5366165027532002,0.5363,0.9775307575757576,0.9845339610303698,1.1365775910186768,66.92
24,57.65,0.5785601450992732,0.5765,0.9808723333333335,0.9849169569155525,1.1270221502685547,67.03
25,49.51,0.4958870411431536,0.4951,0.972414898989899,0.9844229292875696,1.1139570542144774,67.518
26,56.10000000000001,0.5544495790422976,0.561,0.980224191919192,0.9847892833462446,1.1090770462799073,67.684
27,58.099999999999994,0.5837050502967203,0.581,0.9826789292929291,0.9848385125245028,1.0949055977249145,68.126
28,56.24,0.5690264435802497,0.5624,0.9804190707070707,0.9847350354411004,1.0871645735168458,68.38
29,56.85,0.5684676387656185,0.5685,0.9799956717171717,0.98503677569226,1.074395373210907,68.708
30,54.21,0.5458867170937873,0.5421,0.9780546767676769,0.9847664192664602,1.0680055461120606,68.758
31,60.91,0.6071062540663723,0.6091,0.9842429444444444,0.9851348163393239,1.0745975294876098,68.358
